ORDEM;ID;BASE;TITULO;AUTORES;ANO;IDIOMA;OBJETIVOS;METODOS;RESULTADOS;CONCLUSOES
41;src_vWFNrt4Px9OtqetypxalX;IEEE Xplore;Estimativa de densidade e distribuição de plantas daninhas para agricultura de precisão usando aprendizado semi-supervisionado;;0;Português;Demonstrar o impacto negativo do crescimento descontrolado de plantas daninhas na produção agrícola e como a identificação de regiões infestadas pode ajudar no tratamento químico seletivo. Apresentar avanços na análise de imagens de fazendas que resultaram em soluções para identificar plantas daninhas usando métodos de aprendizado semi-supervisionado, que são mais economicamente viáveis para agricultores individuais.;INDISPONÍVEL;INDISPONÍVEL;INDISPONÍVEL
42;src_0LRZemyVVk4o8BnZhbg26;IEEE Xplore;MDFC–ResNet: Um Sistema IoT Agrícola para Reconhecimento Preciso de Doenças de Plantas;W.-J. Hu, et al.;2020;INDISPONÍVEL;O objetivo deste estudo foi desenvolver um sistema IoT para identificar doenças de plantas de forma precisa e em tempo real, combinando tecnologias de IoT e aprendizado profundo.;Os métodos utilizados incluíram a combinação de câmeras de vídeo, modelos de aprendizado profundo e dispositivos terminais inteligentes para coletar vídeos de plantações, analisar o estado de saúde das plantas e fornecer feedback aos agricultores.;Os resultados obtidos com o sistema MDFC-ResNet mostraram uma precisão significativa na identificação de diferentes classes de doenças de plantas, conforme apresentado na Tabela 6 do documento.;Concluiu-se que o sistema proposto é eficaz na identificação de doenças de plantas em tempo real, fornecendo informações valiosas aos agricultores para melhorar a produção agrícola.
43;src_nzJeGWBt86mHwBOKW8G0a;ScienseDirect;Weed and crop species classification using computer vision and deep learning technologies in greenhouse conditions;;2022;INDISPONÍVEL;Fornecer insights sobre o manejo de ervas daninhas específicas do local na Agricultura de Precisão;Extração de recursos de textura de imagens em escala de cinza usando LBP e GLCM, escrita de arquivo CSV com valores de recursos extraídos e rótulos de dados;O f1-score é uma métrica robusta em comparação com a métrica de precisão para a interpretação robusta dos resultados;INDISPONÍVEL
44;src_BwqIVyMhuEPG8RbDlKomo;ScienseDirect;Classificação de culturas e ervas daninhas usando abordagem de máquina de vetores de suporte;F. Ahmed, et al.;2012;INDISPONÍVEL;O objetivo do estudo foi avaliar o potencial de um sistema de visão computacional automatizado para reduzir o uso excessivo de herbicidas em campos agrícolas.;Foram extraídas catorze características de cada imagem e foram utilizadas técnicas de seleção de características para encontrar o melhor conjunto de características.;A classificação alcançou uma taxa de 96,9% com um conjunto de nove características selecionadas por eliminação retroativa.;Os resultados indicam que a abordagem de máquina de vetores de suporte pode ser eficaz na classificação de culturas e ervas daninhas, contribuindo para a redução do uso de herbicidas.
45;src_OwkJPSzjwFD5uALRmVFeM;ScienseDirect;Machine Learning and Handcrafted Image Processing Weed Classification Results Data;;2023;INDISPONÍVEL;Explorar o uso de métodos de aprendizado de máquina e processamento de imagem para classificar ervas daninhas comuns em campos de milho.;Desenvolvimento de dois métodos de processamento de imagem, extração de características de forma e desenvolvimento de plugin usando ImageJ. Os recursos extraídos foram usados para treinar e testar três modelos de aprendizado de máquina não paramétricos (kNN, RF e SVM).;Os métodos desenvolvidos foram capazes de classificar com sucesso as ervas daninhas com uma taxa de precisão de 90%. O uso desses métodos pode aumentar o rendimento das culturas e reduzir o uso de herbicidas prejudiciais.;O uso de métodos de aprendizado de máquina e processamento de imagem pode ser uma abordagem inovadora e eficaz para o manejo de ervas daninhas em campos de milho.
46;src_QYE1gEsMRCiqB27rGMnIL;ScienseDirect;Visual features based boosted classification of weeds for real-time selective herbicide sprayer systems;;0;Inglês;Desenvolver um sistema de classificação de plantas daninhas em tempo real para auxiliar na aplicação seletiva de herbicidas;Utilização de técnicas de aprendizado de máquina e visão computacional para extrair características visuais das plantas daninhas e classificá-las em tempo real;Desenvolvimento de um sistema de classificação de plantas daninhas com alta precisão e eficiência, capaz de auxiliar na aplicação seletiva de herbicidas;A tecnologia de classificação de plantas daninhas baseada em características visuais pode ajudar os agricultores a reduzir o uso de herbicidas e minimizar o impacto ambiental, ao mesmo tempo em que aumenta a eficiência da aplicação de herbicidas seletivos.
47;src_zGa2BI2pFMCHPV2Dr1C5f;ScienseDirect;Smart Agricultural Technology;;2023;Inglês;Identificar ervas daninhas em milho usando técnicas de aprendizado de máquina;Classificação e detecção de objetos usando redes neurais e máquinas de vetores de suporte;Redução significativa no uso de herbicidas e melhoria na produção de culturas;A interpretabilidade dos modelos de aprendizado de máquina é importante para entender os vieses embutidos na rede e identificar as características de entrada importantes e as condições que levaram à decisão de aprendizado de máquina.
48;src_KQqJnAqpg594Xmoh7qbNC;ScienseDirect;Weed detection using image processing under different illumination for site-specific areas spraying;;2016;INDISPONÍVEL;Desenvolver um método para detecção de ervas daninhas em áreas específicas usando processamento de imagem;Utilização de diferentes espaços de cores, linha central de fileiras de culturas, taxa de infestação de ervas daninhas e decisão bayesiana;Redução do uso de herbicidas e da poluição ambiental;O método proposto é eficaz na detecção de ervas daninhas em áreas específicas e pode ser uma alternativa sustentável para a pulverização de herbicidas em larga escala.
49;src_cx8LOBVFKjZ0BSwqsmKbS;ScienseDirect;Deep learning techniques for weed detection from images;;2021;Inglês;Apresentar as últimas técnicas de aprendizado de máquina e agricultura digital para detecção e gerenciamento eficiente de ervas daninhas;Comparação de velocidade e precisão de diferentes arranjos de modelos de detecção de ervas daninhas em imagens;Uso eficiente de micro veículos aéreos para detecção de ervas daninhas em plantações de soja;O uso de técnicas de aprendizado de máquina pode ajudar os agricultores a detectar e gerenciar ervas daninhas de forma mais eficiente
50;src_Vtw5FBTndotLb2N7Bqyqs;ScienseDirect;Weed and crop species classification using computer vision and deep learning technologies in greenhouse conditions;;2022;INDISPONÍVEL;Fornecer insights sobre o manejo de ervas daninhas específicas do local na Agricultura de Precisão;Extração de recursos de textura de imagens em escala de cinza usando LBP e GLCM, escrita de arquivo CSV com valores de recursos extraídos e rótulos de dados;O f1-score é uma métrica robusta em comparação com a métrica de precisão para interpretar os resultados;INDISPONÍVEL
51;src_NtR0DRS181gQz4T7A6zbF;ScienseDirect;Deep Learning for Image-Based Weed Detection in Turfgrass;;2019;Inglês;Desenvolver um sistema de detecção de ervas daninhas em grama usando redes neurais convolucionais profundas;Foram utilizados modelos de redes neurais convolucionais profundas para treinar e testar o sistema de detecção de ervas daninhas em imagens de grama;O sistema de detecção de ervas daninhas apresentou alta precisão na detecção de ervas daninhas em grama, o que pode ajudar a reduzir o uso de herbicidas;O uso de redes neurais convolucionais profundas pode ser uma ferramenta eficaz para a detecção de ervas daninhas em grama e pode ajudar a reduzir o uso de herbicidas
52;src_aOW3jVXoEtcNh87BRMZl6;ScienseDirect;Implementação de inteligência artificial na agricultura;;0;Português;O objetivo do texto é apresentar a implementação de inteligência artificial na agricultura e como essa tecnologia tem revolucionado a forma como abordamos a agricultura, otimizando a irrigação e a aplicação de pesticidas/herbicidas para proteger as colheitas e aumentar os rendimentos.;INDISPONÍVEL;INDISPONÍVEL;INDISPONÍVEL
53;src_46JWK6LCSSQ2a8jnXecmq;ScienseDirect;Reconhecimento de ervas daninhas em culturas de milho usando redes neurais convolucionais;;0;Português;Explorar o uso de redes neurais artificiais profundas para classificar ervas daninhas em culturas de milho;Usar várias arquiteturas de redes neurais convolucionais para extrair recursos de imagens e comparar os resultados de precisão;A arquitetura InceptionV3 obteve a maior precisão, com 98%, demonstrando a capacidade das tecnologias usadas neste trabalho de se tornarem realistas para aplicações em culturas;As redes neurais convolucionais podem ser uma ferramenta útil para ajudar os agricultores a aumentar a produtividade de suas culturas, por meio da identificação e classificação de ervas daninhas em culturas de milho.
54;src_LpV4PO5F03wQXTsDDv3KY;ScienseDirect;Deep Convolutional Neural Network Models for Weed Detection in Polyhouse Grown Bell Peppers;;0;Inglês;Avaliar a viabilidade do uso de técnicas de aprendizado profundo para identificação de ervas daninhas em cultivo de pimentões em estufa.;Utilização de técnicas de aprendizado profundo para treinar modelos de detecção de ervas daninhas em imagens de cultivo de pimentões em estufa.;Obtenção de modelos com alta precisão e acurácia na detecção de ervas daninhas em imagens de cultivo de pimentões em estufa.;O uso de técnicas de aprendizado profundo pode ser uma solução viável para a detecção de ervas daninhas em cultivos em estufa, permitindo uma maior eficiência na identificação e remoção dessas plantas invasoras.
55;src_r0bfdBjpi5ZTF0Q6VeY5s;ScienseDirect;Detecção de ervas daninhas em campos de canola usando classificação de máxima verossimilhança e rede neural convolucional profunda;;0;INDISPONÍVEL;Desenvolver uma metodologia para acelerar a rotulagem manual de pixels usando um procedimento de duas etapas para estimar com precisão a densidade de ervas daninhas usando técnicas avançadas de visão computacional, como aprendizado profundo.;Classificação de máxima verossimilhança e rede neural convolucional profunda.;INDISPONÍVEL;INDISPONÍVEL
56;src_JCYtWMR6UaxfnWHWloiHR;ScienseDirect;Segmentation of row crop plants from weeds using colour and morphology;;2003;Inglês;Desenvolver um algoritmo para segmentação de plantas de cultivo de plantas daninhas usando cor e morfologia;O algoritmo foi avaliado em 12 imagens de plantas de couve-flor, representando uma variedade de estágios de crescimento de plantas e ervas daninhas;Os valores médios dos componentes de solo e vegetação nas 12 imagens variaram mais entre os grupos do que dentro dos grupos;O algoritmo desenvolvido combina cor com conhecimento sobre a grade de plantio para aumentar o potencial de classificação da cor sozinha
57;src_mFTt4nIfzsX2QPj7lza28;ScienseDirect;Weed recognition using image blur information;;2011;INDISPONÍVEL;Propor um esquema robusto para reconhecer ervas daninhas em imagens de baixa qualidade com desfoque de movimento e desfoque de foco.;Usando segmentação de matte de imagem e recursos invariantes de desfoque baseados em momentos.;Melhora a precisão de reconhecimento de ervas daninhas capturadas por câmera.;INDISPONÍVEL
58;src_qV9K2avKdiNDDipl2mMP8;ScienseDirect;Graph weeds net: A graph-based deep learning method for weed recognition;;2020;Inglês;Apresentar uma abordagem inovadora para classificar com precisão espécies de plantas daninhas para direcionamento seletivo em situações de cultivo, mesmo em pastagens complexas.;O Graph Weeds Net usa representações de gráficos em várias escalas para coletar padrões regionais e reconhecer vários tipos de plantas daninhas a partir de imagens RGB convencionais.;Não disponível;Não disponível
59;src_Nl9hZGxl2O7cjUkXrdm1D;ScienseDirect;Development of a herbicide application map using artificial neural networks and fuzzy logic;;2003;Inglês;Desenvolver um sistema de pulverização de herbicidas de precisão em um campo de milho;Integrar tecnologias de processamento de imagem, redes neurais artificiais e lógica fuzzy para desenvolver mapas de aplicação de herbicidas;Desenvolvimento de um sistema que permite a localização automatizada de ervas daninhas para o controle da pulverização de herbicidas de precisão em milho;O uso de tecnologias de processamento de imagem, redes neurais artificiais e lógica fuzzy pode melhorar a gestão de ervas daninhas, reduzir os custos de cultivo e minimizar a poluição agroquímica
60;src_Pcrpw1tA3ENakknu14ABY;ScienseDirect;Non-destructive evaluation of photostability of crop signaling compounds and dose effects on celery vigor for precision plant identification using computer vision;Su, W.-H., Bakalis, S., Sun, D.-W.;2019;INDISPONÍVEL;Este estudo visa explorar a utilização de compostos fluorescentes para permitir que máquinas inteligentes diferenciem com precisão entre culturas vegetais e ervas daninhas.;Foram utilizados compostos fluorescentes para identificar e diferenciar entre culturas vegetais e ervas daninhas, com análise de imagens de alta resolução e software de código aberto para extrair valores de intensidade.;Os resultados mostraram que a fluorescência dos compostos pode ser uma ferramenta eficaz para a identificação precisa de culturas vegetais, contribuindo para a agricultura de precisão.;Conclui-se que a utilização de compostos fluorescentes em conjunto com técnicas de visão computacional pode revolucionar a identificação de plantas no campo, melhorando a eficiência e precisão do processo.
61;src_sehOU0i0LrAkmDaWFWF3q;ScienseDirect;Maize Seedling Detection Using an Improved Faster R-CNN Model;;2018;INDISPONÍVEL;Apresentar um modelo de detecção de plântulas de milho usando uma versão melhorada do Faster R-CNN;Utilização de técnicas de visão computacional e deep learning para treinar o modelo em diferentes estágios de crescimento do milho;Detecção rápida e precisa de plântulas de milho em diferentes ambientes de campo;O modelo apresentado pode ser aplicado na produção agrícola em combinação com orientação automática e intertilhamento inteligente
62;src_sOK1QTTsKjQMiJpXF2rWz;ScienseDirect;Classificação de ervas daninhas por modelos de forma ativa;;0;INDISPONÍVEL;Desenvolver um novo método para identificar espécies de ervas daninhas por meio de processamento de imagens;Utilização de um banco de dados com 19 das espécies de ervas daninhas mais importantes em campos agrícolas dinamarqueses, com resolução de 10 pixels/mm, utilizando uma câmera digital Canon Powershot G1 montada em um cilindro transparente para garantir iluminação difusa e altura fixa da câmera em relação ao solo;Taxa de identificação correta de plântulas de ervas daninhas variando de 65% a mais de 90%, dependendo da espécie;O método apresentado é uma abordagem promissora para a identificação de espécies de ervas daninhas em campos agrícolas
63;src_DxODwHp4nuhdBijk2VivH;ScienseDirect;Detecção de ervas daninhas usando visão computacional terrestre e técnicas de processamento de imagem;;0;INDISPONÍVEL;Apresentar os avanços mais recentes no uso de tecnologia para detectar ervas daninhas no campo, a fim de melhorar o rendimento das culturas e o manejo de ervas daninhas específicas do local.;O texto revisa artigos científicos que utilizam técnicas de visão computacional e processamento de imagem para detectar ervas daninhas no campo.;Os resultados mostram que a detecção de ervas daninhas usando tecnologia de visão computacional e processamento de imagem é uma área em constante evolução, com muitos avanços recentes que podem ajudar a melhorar a eficiência do manejo de ervas daninhas.;A conclusão é que a detecção de ervas daninhas usando tecnologia de visão computacional e processamento de imagem é uma área promissora que pode ajudar a melhorar a eficiência do manejo de ervas daninhas e aumentar o rendimento das culturas.
64;src_1rj9BMhr4Atbbh8HNKALL;ScienseDirect;Classificação sequencial de máquinas de vetores de suporte para espécies de plantas daninhas de grãos pequenos;T. Rumpf, INDISPONÍVEL;2012;INDISPONÍVEL;O estudo visa classificar diferentes espécies de plantas daninhas e culturas usando características de forma e algoritmos de processamento de imagem.;Os métodos incluem a captura de imagens de diferentes comprimentos de onda, extração de plantas com algoritmos de processamento de imagem e classificação com base em características de forma.;Os resultados mostram que as diferenças nas características de forma entre culturas e plantas daninhas são significativas, mas as plantas daninhas individuais são difíceis de identificar devido à semelhança.;Conclui-se que são necessárias características e classificadores específicos para resolver o problema de identificação de plantas daninhas específicas, especialmente durante estágios iniciais de crescimento.
65;src_AoQDswe0hn3jLItoNis8f;ScienseDirect;Reconhecimento de ervas daninhas em campos de trigo usando uma abordagem de classificação de representação esparsa;;0;INDISPONÍVEL;Identificar espécies de ervas daninhas em estágio de plântula de trigo;Combinação de Grabcut modificado, clusterização K-means e classificação de representação esparsa;INDISPONÍVEL;INDISPONÍVEL
66;src_1IAzwU6GHHbquBLfucqhq;ScienseDirect;A modified U-Net with a specific data argumentation method for semantic segmentation of weed images in the field;;2021;Inglês;Desenvolver um algoritmo de segmentação semântica de imagens de plantas daninhas no campo para melhorar a precisão da capina e reduzir a poluição por herbicidas.;Utilização de um sistema de imagem baseado em veículo lagarta com uma câmera RGB e um sensor POS para obter imagens de plantas daninhas no campo. Foram utilizadas técnicas de argumentação de dados para melhorar a adaptabilidade do algoritmo. Foram fornecidas 800 imagens, das quais 100 continham apenas plantas daninhas e solo, 100 continham outras plantas, e 600 continham plantas daninhas e outras plantas. As imagens foram divididas em conjuntos de treinamento e teste para treinar o algoritmo de segmentação semântica.;O algoritmo de segmentação semântica desenvolvido alcançou uma precisão média de 0,92 e uma taxa de erro média de 0,08. Isso indica que o algoritmo é capaz de identificar com precisão as plantas daninhas no campo.;O algoritmo de segmentação semântica desenvolvido neste estudo pode ser usado para melhorar a precisão da capina e reduzir a poluição por herbicidas. Além disso, o sistema de imagem baseado em veículo lagarta pode ser uma ferramenta útil para a obtenção de imagens de plantas daninhas no campo.
67;src_d8KRv6cdlIZA2FwDBhAts;ScienseDirect;Detecção de borda para reconhecimento de ervas daninhas em gramados;;2020;Indisponível;Identificar plantas invasoras em gramados ornamentais e campos esportivos usando técnicas de processamento de imagem;Detecção de borda para identificar as plantas invasoras em imagens de gramados e campos esportivos;Redução da quantidade de pesticidas necessários para o controle de ervas daninhas;A detecção precoce de ervas daninhas é benéfica para a saúde humana e o meio ambiente
68;src_aV8Nbb6MXJGJSPyOjCAyq;ScienseDirect;Detecção de plantas daninhas em lavouras de soja utilizando redes neurais convolucionais;;2018;Português;Identificar e classificar plantas daninhas em lavouras de soja usando técnicas avançadas de visão computacional;Redes neurais convolucionais, segmentação de imagens, extração de características, classificação de imagens;A precisão da detecção de plantas daninhas foi de 95%, o que indica que a abordagem proposta é eficaz na identificação de plantas daninhas em lavouras de soja;A detecção de plantas daninhas em lavouras de soja usando redes neurais convolucionais é uma abordagem promissora para melhorar a produtividade das lavouras e reduzir o uso de herbicidas
69;src_pZWwpnWZh1vQuIbpzo30f;ScienseDirect;Detecção de ervas daninhas em campos de arroz usando uma rede RetinaNet aprimorada;Hongxing Peng, et al.;2022;INDISPONÍVEL;O estudo visa utilizar deep learning e detecção de objetos para combater os efeitos negativos das ervas daninhas na produção e qualidade do arroz.;Os autores implementaram códigos em Pytorch, treinaram modelos com SGD, ajustaram hiperparâmetros e utilizaram uma rede RetinaNet modificada.;Os resultados mostram que a rede aprimorada alcançou um equilíbrio entre velocidade e precisão na detecção de ervas daninhas em comparação com módulos gerais.;Conclui-se que a combinação de perdas GIoU e Smooth L1 acelerou a convergência do modelo, resultando em uma mAP mais alta do que outras abordagens.
70;;ScienseDirect;;;0;;;;;
71;src_274DeLvt1wL6J8BPAyq6W;ScienseDirect;Real-time classification of weeds in organic carrot production using deep learning algorithms;;0;INDISPONÍVEL;Desenvolver uma solução de classificação automática de plantas daninhas em produção orgânica de cenouras usando algoritmos de aprendizado profundo;Utilização de redes neurais artificiais para processamento de imagens e técnicas de pré-processamento para extrair as plantas do fundo das imagens;Desenvolvimento de um fluxo de cálculo em tempo real para as redes neurais, permitindo a classificação automática de plantas daninhas com alta precisão;A classificação automática de plantas daninhas é uma solução promissora para melhorar a eficiência e reduzir os custos da produção orgânica de cenouras
72;src_IFzTXbCxgL3HZDNkV6PGK;ScienseDirect;Potential for Automatic Weed Detection and Selective Herbicide Application;;1992;Inglês;Demonstrar a viabilidade da detecção automática de ervas daninhas e aplicação seletiva de herbicidas;Revisão bibliográfica e observações preliminares de plantas no campo;Erros no sistema de controle do pulverizador devem ser considerados na performance geral do sistema. A luz natural pode ser uma fonte significativa de erro na detecção de ervas daninhas. Observações preliminares mostraram que ângulos baixos de luz solar causam reflexão especular nas folhas horizontais de plantas daninhas pequenas.;A detecção automática de ervas daninhas e aplicação seletiva de herbicidas é viável, mas erros no sistema e fontes de erro externas devem ser considerados.
73;src_kaKt7hvIVyq7jl6DMCjkw;ScienseDirect;An automated weed identification framework for sugarcane crop: A deep learning approach;;2023;Inglês;Desenvolver um framework de identificação automática de ervas daninhas em plantações de cana-de-açúcar utilizando deep learning.;Utilização de técnicas de deep learning para treinamento de um modelo capaz de identificar automaticamente as ervas daninhas presentes em plantações de cana-de-açúcar.;O framework desenvolvido apresentou alta precisão na identificação de ervas daninhas em plantações de cana-de-açúcar, contribuindo para a maximização da eficiência de herbicidas e aumento da produtividade.;A utilização de deep learning para identificação automática de ervas daninhas em plantações de cana-de-açúcar é uma abordagem promissora para aprimorar a eficiência da produção agrícola.
74;src_ClbtFPgYOA3kwWF4qWJZ7;ScienseDirect;Aplicação de Taxas Variáveis de Herbicida com Base em Sensores para Controle de Ervas Daninhas;K.-H. Dammer, G. Wartenberg;2007;Alemão;O estudo buscou avaliar a eficácia da aplicação em tempo real de taxas variáveis de herbicida usando sensores para controle de ervas daninhas.;Foram realizados experimentos de campo em locais com diferentes tipos de solo, monitorando valores de sensores, posição por GPS diferencial e taxa de fluxo.;Os resultados mostraram economia significativa de herbicida sem redução de rendimento, com seis experimentos demonstrando a influência da aplicação controlada por sensores nas taxas de herbicida.;A aplicação de taxas variáveis de herbicida com base em sensores é uma abordagem eficaz para o controle de ervas daninhas, resultando em economia de herbicida sem comprometer a produção agrícola.
75;src_cnnOQw6kK52rbw1HnvX5r;ScienseDirect;Early Weed Identification Based on Deep Learning: A Comprehensive Review of Emerging Technologies in Smart Agriculture;;2022;Inglês;Explorar as tecnologias emergentes na detecção de ervas daninhas e sua aplicação na agricultura inteligente;Revisão abrangente;As tecnologias emergentes em detecção de ervas daninhas, como transfer learning, neural architecture search, domain adaptation, knowledge distillation e generative adjunctive neural network, foram efetivamente resumidas e explicadas. Casos específicos de novas tecnologias para resolver os desafios no campo da identificação precoce de ervas daninhas foram propostos. Os desafios técnicos e possíveis direções futuras para as tecnologias emergentes foram discutidos e propostos.;A colaboração entre múltiplas tecnologias emergentes deve ser mais eficiente do que melhorar uma única tecnologia no curto prazo. Esta revisão pode ajudar a comunidade de pesquisa a usar tecnologias emergentes para enfrentar os problemas e desafios atuais no campo da identificação precoce de ervas daninhas.
76;src_mt9Voq1dOqsqWOkbNWGcv;ScienseDirect;Crop/weed discrimination in agronomic images;;0;Inglês;Apresentar um método geral para estimar as taxas de infestação de ervas daninhas em imagens de vista ampla, útil para pulverização de precisão em tempo real.;O método envolve a segmentação de imagens em regiões de culturas e ervas daninhas, extração de características e classificação de regiões usando um classificador SVM.;Os resultados mostraram que o método proposto é capaz de discriminar com sucesso entre culturas e ervas daninhas em imagens de vista ampla, com uma taxa de precisão média de 92,3%.;O método proposto pode ser usado para melhorar a eficiência da pulverização de herbicidas, reduzindo o uso desnecessário de produtos químicos e minimizando o impacto ambiental.
77;src_d8swUW5qin8VAp6DtsONj;ScienseDirect;AgroAVNET for crops and weeds classification: A step forward in automatic farming;Trupti R Chavan, A.V. Nandedkar;2018;INDISPONÍVEL;O objetivo principal do estudo é classificar diferentes espécies de plantas (culturas e ervas daninhas) utilizando métodos existentes e o método proposto, AgroAVNET.;O estudo utiliza AgroAVNET, um modelo híbrido de AlexNet e VGGNET, para classificar espécies de plantas. Também inclui aprendizado incremental para melhorar a precisão da classificação.;Os resultados experimentais mostram altas taxas de precisão na classificação de espécies de plantas, com médias de validação e teste acima de 90%. O desempenho é comparado com abordagens existentes, mostrando melhorias significativas.;A conclusão do estudo destaca a eficácia do AgroAVNET na classificação de culturas e ervas daninhas, demonstrando ser um avanço significativo na agricultura automatizada.
78;src_j9CVPl4VlTfYeXi4Jr1ob;ScienseDirect;Performance of deep learning models for classifying and detecting common weeds in corn and soybean production systems;Aanis Ahmad, Dharmendra Saraswat, Varun Aggarwal, Aaron Etienne, Benjamin Hancock;2021;INDISPONÍVEL;Avaliar a eficácia de técnicas de aprendizado profundo na discriminação entre ervas daninhas e culturas, utilizando um conjunto de dados de imagens anotadas de ervas daninhas de início de temporada em milho e soja.;Treinamento de modelos de classificação de imagem e detecção de objetos em um conjunto de dados de 462 imagens de quatro ervas daninhas comuns em milho e soja, utilizando os frameworks Keras e PyTorch.;Os modelos treinados no framework PyTorch apresentaram melhor desempenho em termos de precisão de teste, pontuação F1 e tempo de treinamento em comparação com o Keras.;Os resultados indicam que os modelos de aprendizado profundo são eficazes na identificação e detecção de ervas daninhas, com o PyTorch superando o Keras em termos de desempenho.
79;src_eGPLWAE7gNRvzMvJbgjyr;ScienseDirect;Weed image classification using Gabor wavelet and gradient field distribution;;2009;Inglês;Desenvolver uma técnica para extrair propriedades de textura direcional de imagens de ervas daninhas para classificar diferentes tipos de ervas daninhas.;Utilização de Gabor wavelet e distribuição de campo de gradiente para extrair propriedades de textura direcional de imagens de ervas daninhas.;A técnica proposta apresentou uma taxa de classificação de 92,5% para imagens de ervas daninhas, o que demonstra sua eficácia na classificação de diferentes tipos de ervas daninhas.;A técnica proposta pode ser utilizada como uma ferramenta eficaz para a classificação de diferentes tipos de ervas daninhas, o que pode ajudar na identificação e tratamento de ervas daninhas em plantações.
80;src_rjvbPAvm7nOL0zgKDtxAN;ScienseDirect;Optimising the parameters influencing performance and weed (goldenrod) identification accuracy of colour co-occurrence matrices;;2018;INDISPONÍVEL;Use of a CCMs-based algorithm for spot-application of herbicide on goldenrod within wild blueberry fields;Image acquisition hardware with four USB 2.0 colour cameras, statistical analysis using a completely randomised design and one-way ANOVA;Significantly different time measurement means were determined by performing the Tukey's honestly significant difference (HSD) test;The proposed algorithm can accurately identify goldenrod and can be used for spot-application of herbicide
81;src_prrZpjromO3236HH7Vbpl;ScienseDirect;Weed Detection in Soybean Crops using Custom Lightweight Deep Learning Models;;2020;Inglês;Desenvolver um sistema de detecção de ervas daninhas baseado em visão usando modelos de aprendizado profundo que detectam efetivamente ervas daninhas em uma plantação de soja.;Implementação de redes neurais profundas (MobileNet, ResNet50) para detecção de ervas daninhas. Construção de três camadas de convolução personalizadas de 4, 5 e 8 camadas para detectar efetivamente ervas daninhas em soja. Implantação do MobileNetv2, ResNet50 e CNN de 5 camadas em um Raspberry Pi. Fornecimento de análises comparativas dos modelos propostos.;Os modelos propostos apresentaram alta precisão e baixa latência na detecção de ervas daninhas em plantações de soja. A implementação em um Raspberry Pi mostrou-se eficiente e viável para uso em campo.;Os modelos propostos são eficazes na detecção de ervas daninhas em plantações de soja e podem ser implementados em um dispositivo de borda como o Raspberry Pi para uso em campo. O uso de redes neurais profundas e técnicas de visão computacional pode ajudar a melhorar a eficiência e a precisão da detecção de ervas daninhas em plantações de soja.
82;src_nAOZlWj1WOt7NJuLiTfNq;ScienseDirect;Reconhecimento de ervas daninhas e culturas em agricultura inteligente;Bakhshipour, Jafari, Zhang, Song;0;INDISPONÍVEL;Reconhecer com precisão ervas daninhas e culturas utilizando algoritmos de visão computacional;Abordagens baseadas em características como cor, textura e forma;Matrizes de confusão com verdadeiros positivos, verdadeiros negativos, falsos positivos e falsos negativos;Discussão das especificações da aplicação e áreas futuras de pesquisa
83;src_gZ5mqRSBXJJXU7MRzTGHN;ScienseDirect;Comparison of vision-based and manual weed mapping in sugar beet;;2007;Inglês;Desenvolver e comparar métodos semi-automáticos e automáticos de mapeamento de ervas daninhas baseados em processamento de imagens.;Foram utilizados dados de contagem para estimar os parâmetros de validação e foram calculados índices de validação e predição para os algoritmos desenvolvidos.;Os métodos automáticos e semi-automáticos apresentaram alta sensibilidade e especificidade, com valores de predição positiva e negativa satisfatórios.;Os métodos de mapeamento de ervas daninhas baseados em processamento de imagens podem ser uma alternativa viável e eficaz para reduzir custos com herbicidas e poluição ambiental.
84;src_05YsFnnrxOHLwoWSgYtz6;ScienseDirect;Weed and crop species classification using computer vision and deep learning technologies in greenhouse conditions;;2022;INDISPONÍVEL;Fornecer insights sobre o manejo de ervas daninhas específicas do local na Agricultura de Precisão;Extração de recursos de textura de imagens em escala de cinza usando LBP e GLCM, escrita de arquivo CSV com valores de recursos extraídos e rótulos de dados;O f1-score é uma métrica robusta em comparação com a métrica de precisão para a interpretação robusta dos resultados;INDISPONÍVEL
85;src_YI2ZtSbdeHQq70EhnO9ow;ScienseDirect;Smart Agricultural Technology 3 (2023) 100128;;2023;INDISPONÍVEL;Explorar o efeito de treinamentos de épocas variáveis de uma Rede Neural Convolucional baseada em Regiões Rápidas na precisão de um esquema de classificação automática de ervas daninhas.;Foram utilizados pontos de controle terrestres (GCP) para o processamento das fotos, além de um receptor GNSS de dupla frequência para a localização precisa em tempo real. Foram tiradas 254 fotos com sobreposição lateral de 75%, sobreposição frontal de 75% e resolução espacial de 0,5 m. As imagens foram pré-processadas com operações de redimensionamento.;Os resultados mostraram que o aumento do número de épocas de treinamento melhorou a precisão do esquema de classificação automática de ervas daninhas.;O estudo concluiu que o aumento do número de épocas de treinamento pode melhorar significativamente a precisão do esquema de classificação automática de ervas daninhas, o que pode ter implicações importantes para a agricultura de precisão.
